year,artist,song,track_id,rank,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2015,Banda Carnaval,El Que Se Enamora Pierde,24Yw6Hoi0sPaJKb16uQZGI,53,0.817,https://api.spotify.com/v1/audio-analysis/24Yw6Hoi0sPaJKb16uQZGI,0.615,140453.0,0.475,24Yw6Hoi0sPaJKb16uQZGI,2.07e-06,8.0,0.0514,-6.056,1.0,0.076,170.379,4.0,https://api.spotify.com/v1/tracks/24Yw6Hoi0sPaJKb16uQZGI,audio_features,spotify:track:24Yw6Hoi0sPaJKb16uQZGI,0.967
2015,La Septima Banda,Bonito y Bello,1lplTgEVWy8Rm8GHwfHcvD,54,0.524,https://api.spotify.com/v1/audio-analysis/1lplTgEVWy8Rm8GHwfHcvD,0.727,168213.0,0.793,1lplTgEVWy8Rm8GHwfHcvD,0.0,3.0,0.103,-2.358,1.0,0.0284,114.955,4.0,https://api.spotify.com/v1/tracks/1lplTgEVWy8Rm8GHwfHcvD,audio_features,spotify:track:1lplTgEVWy8Rm8GHwfHcvD,0.954
2015,Ricky Martin,Disparo Al Corazon,5828oiHxe6DSSAuIrPSeVT,55,0.542,https://api.spotify.com/v1/audio-analysis/5828oiHxe6DSSAuIrPSeVT,0.499,230347.0,0.683,5828oiHxe6DSSAuIrPSeVT,0.0,2.0,0.0923,-5.036,0.0,0.0354,139.701,4.0,https://api.spotify.com/v1/tracks/5828oiHxe6DSSAuIrPSeVT,audio_features,spotify:track:5828oiHxe6DSSAuIrPSeVT,0.275
2015,Romeo Santos,Inocente,6rXvMpWJbTyhSrVWye7jPE,57,0.359,https://api.spotify.com/v1/audio-analysis/6rXvMpWJbTyhSrVWye7jPE,0.733,236293.0,0.794,6rXvMpWJbTyhSrVWye7jPE,0.0,5.0,0.16,-4.328,1.0,0.0447,140.186,4.0,https://api.spotify.com/v1/tracks/6rXvMpWJbTyhSrVWye7jPE,audio_features,spotify:track:6rXvMpWJbTyhSrVWye7jPE,0.857
2015,Yandel,Calentura,1DG24Lw8SIN0kjJt2AzSVK,58,0.0196,https://api.spotify.com/v1/audio-analysis/1DG24Lw8SIN0kjJt2AzSVK,0.712,189133.0,0.873,1DG24Lw8SIN0kjJt2AzSVK,0.0,4.0,0.256,-3.879,0.0,0.0717,168.077,4.0,https://api.spotify.com/v1/tracks/1DG24Lw8SIN0kjJt2AzSVK,audio_features,spotify:track:1DG24Lw8SIN0kjJt2AzSVK,0.689
2015,Don Omar,Soledad,4joRJ9BbN4S3PxvCehX73Y,59,0.0862,https://api.spotify.com/v1/audio-analysis/4joRJ9BbN4S3PxvCehX73Y,0.623,192053.0,0.879,4joRJ9BbN4S3PxvCehX73Y,0.0,9.0,0.368,-4.396,0.0,0.106,196.028,4.0,https://api.spotify.com/v1/tracks/4joRJ9BbN4S3PxvCehX73Y,audio_features,spotify:track:4joRJ9BbN4S3PxvCehX73Y,0.602
2015,Natalia Jimenez,Quedate Con Ella,0BTBoi7AeMBrMP6cwOLNR0,60,0.118,https://api.spotify.com/v1/audio-analysis/0BTBoi7AeMBrMP6cwOLNR0,0.689,229787.0,0.865,0BTBoi7AeMBrMP6cwOLNR0,0.0,4.0,0.371,-2.675,1.0,0.0517,129.958,4.0,https://api.spotify.com/v1/tracks/0BTBoi7AeMBrMP6cwOLNR0,audio_features,spotify:track:0BTBoi7AeMBrMP6cwOLNR0,0.655
2015,Wisin,Si Lo Hacemos Bien,2M4zEbZTNTR5MuirjuvXwX,61,0.384,https://api.spotify.com/v1/audio-analysis/2M4zEbZTNTR5MuirjuvXwX,0.705,253987.0,0.854,2M4zEbZTNTR5MuirjuvXwX,6.7e-06,1.0,0.074,-3.44,0.0,0.0962,175.997,4.0,https://api.spotify.com/v1/tracks/2M4zEbZTNTR5MuirjuvXwX,audio_features,spotify:track:2M4zEbZTNTR5MuirjuvXwX,0.774
2015,J Balvin Featuring Farruko,6 AM,3uvypVUsiIr1B0BccIcsEh,65,0.152,https://api.spotify.com/v1/audio-analysis/3uvypVUsiIr1B0BccIcsEh,0.746,243227.0,0.746,3uvypVUsiIr1B0BccIcsEh,0.0,5.0,0.274,-5.046,0.0,0.102,175.965,4.0,https://api.spotify.com/v1/tracks/3uvypVUsiIr1B0BccIcsEh,audio_features,spotify:track:3uvypVUsiIr1B0BccIcsEh,0.733
2015,La Septima Banda,Se Va Muriendo Mi Alma,089JwgBFzPhW92N7RmUdNq,66,0.401,https://api.spotify.com/v1/audio-analysis/089JwgBFzPhW92N7RmUdNq,0.667,236907.0,0.568,089JwgBFzPhW92N7RmUdNq,0.0,5.0,0.0799,-5.368,1.0,0.0309,116.923,1.0,https://api.spotify.com/v1/tracks/089JwgBFzPhW92N7RmUdNq,audio_features,spotify:track:089JwgBFzPhW92N7RmUdNq,0.964
