year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2017,2 Chainz Featuring Travis Scott,4:00 AM,1nX9KhK3Fff27SnrIor2Yb,0.118,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,0.796,255560,0.5,,1nX9KhK3Fff27SnrIor2Yb,0,1,0.155,-7.21,1,0.425,75.012,4,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,audio_features,spotify:track:1nX9KhK3Fff27SnrIor2Yb,0.227
2017,J. Cole,Neighbors,0utlOiJy2weVl9WTkcEWHy,0.358,https://api.spotify.com/v1/audio-analysis/0utlOiJy2weVl9WTkcEWHy,0.894,216520,0.284,,0utlOiJy2weVl9WTkcEWHy,0.000487,11,0.11,-13.002,0,0.33,138.944,4,https://api.spotify.com/v1/tracks/0utlOiJy2weVl9WTkcEWHy,audio_features,spotify:track:0utlOiJy2weVl9WTkcEWHy,0.413
2017,Chris Brown Featuring Yo Gotti  A Boogie Wit da Hoodie & Kodak Black,Pills And Automobiles,4YkwUfWSIxdKNLDXw0caFO,0.119,https://api.spotify.com/v1/audio-analysis/4YkwUfWSIxdKNLDXw0caFO,0.82,292910,0.696,,4YkwUfWSIxdKNLDXw0caFO,0,7,0.231,-4.918,0,0.182,144.981,4,https://api.spotify.com/v1/tracks/4YkwUfWSIxdKNLDXw0caFO,audio_features,spotify:track:4YkwUfWSIxdKNLDXw0caFO,0.617
2017,Drake Featuring 21 Savage,Sneakin',592gSzhKM8vyNWUs0hJM4S,0.00717,https://api.spotify.com/v1/audio-analysis/592gSzhKM8vyNWUs0hJM4S,0.595,249366,0.451,,592gSzhKM8vyNWUs0hJM4S,0.815,1,0.0954,-13.049,1,0.0445,170.022,4,https://api.spotify.com/v1/tracks/592gSzhKM8vyNWUs0hJM4S,audio_features,spotify:track:592gSzhKM8vyNWUs0hJM4S,0.298
2017,Lil Uzi Vert,Sauce It Up,1uL78kFWxhz3umTMWJu8n5,0.0715,https://api.spotify.com/v1/audio-analysis/1uL78kFWxhz3umTMWJu8n5,0.813,207039,0.528,,1uL78kFWxhz3umTMWJu8n5,0,6,0.125,-6.305,0,0.313,79.532,4,https://api.spotify.com/v1/tracks/1uL78kFWxhz3umTMWJu8n5,audio_features,spotify:track:1uL78kFWxhz3umTMWJu8n5,0.131
2017,6LACK,Prblms,4AtZRwSR8BOTTQg5ihSggt,0.0307,https://api.spotify.com/v1/audio-analysis/4AtZRwSR8BOTTQg5ihSggt,0.417,246773,0.58,,4AtZRwSR8BOTTQg5ihSggt,1.45E-06,9,0.179,-4.574,1,0.207,68.58,5,https://api.spotify.com/v1/tracks/4AtZRwSR8BOTTQg5ihSggt,audio_features,spotify:track:4AtZRwSR8BOTTQg5ihSggt,0.139
2017,Chris Brown,Questions,5XQMr19TL7Mfksq9zihbOu,0.00543,https://api.spotify.com/v1/audio-analysis/5XQMr19TL7Mfksq9zihbOu,0.614,129478,0.598,,5XQMr19TL7Mfksq9zihbOu,0,10,0.1,-6.335,0,0.0561,105.803,4,https://api.spotify.com/v1/tracks/5XQMr19TL7Mfksq9zihbOu,audio_features,spotify:track:5XQMr19TL7Mfksq9zihbOu,0.565
2017,Metro Boomin Featuring Offset & Drake,No Complaints,7sO5G9EABYOXQKNPNiE9NR,0.149,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,0.88,172800,0.428,,7sO5G9EABYOXQKNPNiE9NR,5.07E-05,9,0.114,-8.28,1,0.206,100.007,4,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.333
2018,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,0.0332,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,0.754,198973,0.449,,6DCZcSspjsKoFjzjrWoCdn,8.29E-05,7,0.552,-9.211,1,0.109,77.169,4,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,0.357
2018,Cardi B  Bad Bunny & J Balvin,I Like It,58q2HKrzhC3ozto2nDdN4z,0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,253390,0.726,,58q2HKrzhC3ozto2nDdN4z,0,5,0.372,-3.998,0,0.129,136.048,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65
