,year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
645,2017,Niall Horan,Slow Hands,2cOUlop2ZakjOKe4WinesN,0.0139,https://api.spotify.com/v1/audio-analysis/2cOUlop2ZakjOKe4WinesN,0.726,188174.0,0.431,,2cOUlop2ZakjOKe4WinesN,0.0,0.0,0.054,-6.666,1.0,0.0554,85.889,4.0,https://api.spotify.com/v1/tracks/2cOUlop2ZakjOKe4WinesN,audio_features,spotify:track:2cOUlop2ZakjOKe4WinesN,0.86
646,2017,Rihanna,Love On The Brain,2aksifNn5ph8igDOkPBA02,0.0717,https://api.spotify.com/v1/audio-analysis/2aksifNn5ph8igDOkPBA02,0.509,224000.0,0.637,,2aksifNn5ph8igDOkPBA02,1.08e-05,4.0,0.0789,-4.83,0.0,0.0471,172.006,3.0,https://api.spotify.com/v1/tracks/2aksifNn5ph8igDOkPBA02,audio_features,spotify:track:2aksifNn5ph8igDOkPBA02,0.378
647,2017,The Weeknd Featuring Daft Punk,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,0.426,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,0.773,269187.0,0.819,,3dhjNA0jGA8vHBQ1VdD6vV,0.0,0.0,0.0679,-5.946,0.0,0.118,92.99,4.0,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,audio_features,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,0.585
648,2017,Big Sean,Bounce Back,0SGkqnVQo9KPytSri1H6cF,0.105,https://api.spotify.com/v1/audio-analysis/0SGkqnVQo9KPytSri1H6cF,0.77,222360.0,0.567,,0SGkqnVQo9KPytSri1H6cF,0.0,2.0,0.125,-5.698,1.0,0.175,81.477,4.0,https://api.spotify.com/v1/tracks/0SGkqnVQo9KPytSri1H6cF,audio_features,spotify:track:0SGkqnVQo9KPytSri1H6cF,0.26
649,2017,Liam Payne Featuring Quavo,Strip That Down,4Ro98RCK90oHqqSZUnTFq5,0.22,https://api.spotify.com/v1/audio-analysis/4Ro98RCK90oHqqSZUnTFq5,0.874,204502.0,0.497,,4Ro98RCK90oHqqSZUnTFq5,0.0,6.0,0.0761,-5.484,1.0,0.0562,106.023,4.0,https://api.spotify.com/v1/tracks/4Ro98RCK90oHqqSZUnTFq5,audio_features,spotify:track:4Ro98RCK90oHqqSZUnTFq5,0.542
650,2017,Drake,Fake Love,343YBumqHu19cGoGARUTsd,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937.0,0.488,,343YBumqHu19cGoGARUTsd,0.0,9.0,0.196,-9.433,0.0,0.42,133.987,4.0,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605
651,2017,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,1nueTG77MzNkJTKQ0ZdGzT,0.343,https://api.spotify.com/v1/audio-analysis/1nueTG77MzNkJTKQ0ZdGzT,0.783,214265.0,0.61,,1nueTG77MzNkJTKQ0ZdGzT,0.0,7.0,0.0983,-6.124,1.0,0.0696,100.047,4.0,https://api.spotify.com/v1/tracks/1nueTG77MzNkJTKQ0ZdGzT,audio_features,spotify:track:1nueTG77MzNkJTKQ0ZdGzT,0.418
652,2017,Taylor Swift,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,0.204,https://api.spotify.com/v1/audio-analysis/1P17dC1amhFzptugyAO7Il,0.766,211853.0,0.709,,1P17dC1amhFzptugyAO7Il,1.41e-05,9.0,0.126,-6.471,0.0,0.123,128.07,4.0,https://api.spotify.com/v1/tracks/1P17dC1amhFzptugyAO7Il,audio_features,spotify:track:1P17dC1amhFzptugyAO7Il,0.506
653,2017,Ed Sheeran,Castle On The Hill,6PCUP3dWmTjcTtXY02oFdT,0.0232,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,0.461,261154.0,0.834,,6PCUP3dWmTjcTtXY02oFdT,1.14e-05,2.0,0.14,-4.868,1.0,0.0989,135.007,4.0,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,audio_features,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.471
654,2017,Machine Gun Kelly x Camila Cabello,Bad Things,1PSBzsahR2AKwLJgx8ehBj,0.214,https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj,0.697,239293.0,0.691,,1PSBzsahR2AKwLJgx8ehBj,0.0,2.0,0.185,-4.757,1.0,0.146,137.853,4.0,https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj,audio_features,spotify:track:1PSBzsahR2AKwLJgx8ehBj,0.305
655,2017,The Chainsmokers,Paris,15vzANxN8G9wWfwAJLLMCg,0.0243,https://api.spotify.com/v1/audio-analysis/15vzANxN8G9wWfwAJLLMCg,0.646,221520.0,0.644,,15vzANxN8G9wWfwAJLLMCg,0.0,2.0,0.0888,-6.763,1.0,0.031,99.999,4.0,https://api.spotify.com/v1/tracks/15vzANxN8G9wWfwAJLLMCg,audio_features,spotify:track:15vzANxN8G9wWfwAJLLMCg,0.251
656,2017,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,5knuzwU65gJK7IF5yJsuaW,0.406,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,0.72,251088.0,0.763,,5knuzwU65gJK7IF5yJsuaW,0.0,9.0,0.18,-4.068,0.0,0.0523,101.965,4.0,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,audio_features,spotify:track:5knuzwU65gJK7IF5yJsuaW,0.742
657,2017,Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,0.0417,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,0.801,163253.0,0.795,,6QgjcU0zLnzq5OrUoSZ3OK,0.000113,1.0,0.0717,-5.115,0.0,0.0504,79.028,4.0,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,0.754
658,2017,Demi Lovato,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760.0,0.635,,3Du2K5dLzmduCNp6uwuaL0,0.0,11.0,0.283,-6.917,0.0,0.265,144.004,4.0,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873
659,2017,21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G,0.0151,https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G,0.884,220307.0,0.346,,2fQrGHiQOvpL9UgPvtYy6G,7.04e-06,8.0,0.0871,-8.228,0.0,0.351,75.016,4.0,https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G,audio_features,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,0.376
660,2017,J Balvin & Willy William Featuring Beyonce,Mi Gente,58q2HKrzhC3ozto2nDdN4z,0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,253390.0,0.726,,58q2HKrzhC3ozto2nDdN4z,0.0,5.0,0.372,-3.998,0.0,0.129,136.048,4.0,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65
661,2017,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB,0.00671,https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB,0.605,187147.0,0.822,,1zB4vmk8tFRmM9UULNzbLB,0.134,0.0,0.147,-4.833,1.0,0.0438,167.997,4.0,https://api.spotify.com/v1/tracks/1zB4vmk8tFRmM9UULNzbLB,audio_features,spotify:track:1zB4vmk8tFRmM9UULNzbLB,0.288
662,2017,Migos,T-Shirt,7KOlJ92bu51cltsD9KU5I7,0.242,https://api.spotify.com/v1/audio-analysis/7KOlJ92bu51cltsD9KU5I7,0.865,242407.0,0.687,,7KOlJ92bu51cltsD9KU5I7,0.0,10.0,0.158,-3.744,0.0,0.217,139.023,4.0,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,audio_features,spotify:track:7KOlJ92bu51cltsD9KU5I7,0.486
663,2017,Yo Gotti Featuring Nicki Minaj,Rake It Up,4knL4iPxPOZjQzTUlELGSY,0.022,https://api.spotify.com/v1/audio-analysis/4knL4iPxPOZjQzTUlELGSY,0.91,276333.0,0.444,,4knL4iPxPOZjQzTUlELGSY,0.0,1.0,0.137,-8.126,0.0,0.344,149.953,4.0,https://api.spotify.com/v1/tracks/4knL4iPxPOZjQzTUlELGSY,audio_features,spotify:track:4knL4iPxPOZjQzTUlELGSY,0.53
664,2017,Shawn Mendes,Mercy,0AS63m1wHv9n4VVRizK6Hc,0.125,https://api.spotify.com/v1/audio-analysis/0AS63m1wHv9n4VVRizK6Hc,0.555,208733.0,0.662,,0AS63m1wHv9n4VVRizK6Hc,0.0,11.0,0.111,-4.952,0.0,0.0827,148.128,4.0,https://api.spotify.com/v1/tracks/0AS63m1wHv9n4VVRizK6Hc,audio_features,spotify:track:0AS63m1wHv9n4VVRizK6Hc,0.356
